DIRECT_INFO_L 0 10122 0 5.377074
DIRECT_INFO_R 0 9969 0 5.295973
MODE: Multi
Time Resolution : 640000
Volume Resolution : 1000000
100Hz
L 18133 779 9.633266
L 18147 779 9.640392
L 18160 779 9.647547
L 18174 780 9.654723
L 18187 780 9.661927
L 18201 780 9.669158
L 18214 780 9.676414
L 18228 780 9.683697
L 18242 780 9.691004
L 18256 780 9.698339
L 18270 780 9.705702
L 18283 780 9.713090
L 18297 780 9.720508
L 18311 780 9.727951
L 18325 780 9.735420
L 18340 780 9.742918
L 18354 780 9.750444
L 18368 780 9.757998
L 18382 780 9.765579
L 18397 780 9.773187
L 18411 780 9.780826
L 18425 780 9.788492
L 18440 780 9.796186
L 18454 781 9.803910
L 18469 781 9.811663
L 18484 781 9.819444
L 18498 781 9.827257
L 18513 781 9.835096
L 18528 781 9.842966
L 18543 781 9.850865
L 18558 781 9.858795
L 18573 781 9.866755
L 18588 781 9.874746
L 18603 781 9.882765
L 18618 781 9.890818
L 18633 781 9.898901
L 18648 781 9.907013
L 18664 781 9.915158
L 18679 781 9.923333
L 18695 781 9.931540
L 18710 782 9.939780
L 18726 782 9.948053
L 18741 782 9.956355
L 18757 782 9.964691
L 18773 782 9.973061
L 18789 782 9.981461
L 18805 782 9.989895
L 18820 782 9.998362
L 18836 782 10.006860
L 18853 782 10.015400
L 18869 782 10.023960
L 18885 782 10.032570
L 18901 782 10.041200
L 18917 782 10.049870
L 18934 783 10.058580
L 20114 3079 10.685360
L 20297 3104 10.782630
L 20344 2132 10.807810
L 20349 2137 10.810600
L 20355 2141 10.813430
L 20360 2146 10.816280
L 20365 2150 10.819160
L 20371 2155 10.822070
L 20376 2159 10.825000
L 20382 2163 10.827960
L 20388 2168 10.830960
L 20393 2172 10.833980
L 20399 2176 10.837030
L 20405 5031 10.840090
L 20411 2185 10.843220
L 20417 2189 10.846350
L 20423 2193 10.849530
L 20429 2197 10.852720
L 20435 2202 10.855950
L 20441 2206 10.859210
L 20447 2210 10.862510
L 20453 2214 10.865830
L 20460 2218 10.869190
L 20466 2222 10.872570
L 20472 2226 10.875990
L 20479 2230 10.879450
L 20486 2234 10.882930
L 20491 3130 10.885980
L 20492 2238 10.886450
L 20499 5096 10.889970
L 20506 2246 10.893590
L 20512 2250 10.897210
L 20519 2254 10.900860
L 20526 2258 10.904550
L 20533 2262 10.908280
L 20540 2266 10.912040
L 20547 2270 10.915830
L 20555 2274 10.919670
L 20562 2278 10.923540
L 20569 2281 10.927440
L 20577 2285 10.931380
L 20584 2289 10.935360
L 20592 2293 10.939380
L 20594 2857 10.940330
L 20599 2297 10.943440
L 20607 2301 10.947530
